_id/$oid,mti,processingCode,transactionAmount,dateTimeTransaction,cardholderBillingConversionRate,stan,timeLocalTransaction,dateLocalTransaction,expiryDate,conversionDate,merchantCategoryCode,posEntryMode,acquiringInstitutionCode,forwardingInstitutionCode,rrn,cardAcceptorTerminalId,cardAcceptorId,cardAcceptorNameLocation,cardBalance,additionalData48,transactionCurrencyCode,cardholderBillingCurrencyCode,posDataCode,originalDataElement,channel,encryptedPan,network,dcc,kitNo,factorOfAuthorization,authenticationScore,contactless,international,preValidated,enhancedLimitWhiteListing,transactionOrigin,transactionType,isExternalAuth,encryptedHexCardNo,isTokenized,entityId,moneySendTxn,mcRefundTxn,mpqrtxn,authorisationStatus,latitude,longitude,dateTimeTransaction/$numberLong,_id
6610636f19ed1b8cfaaed3a6,0100,000000,0000000000.00,2412192200,61000000,13244,192200,2412,2306,0911,5969,810,013992,001695,1122033441,8999840,89050840 ,NETFLIXUS,0000000000.00,T,840,840,102510800600084063368,01001324424121922000000001399200000001695,ECOM,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmc=,MASTER,false,1020001031,0,0,false,true,false,false,ECOM,ECOM,false,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e67,false,EKCZSH8MA5,false,false,false,true,28.644800,77.216721,,
6610636f19ed1b8cfaaed3a7,0200,000001,0000000001.00,,62000000,13245,202300,2512,2307,0912,5970,811,013993,001696,1122033442,8999841,89050841,AMAZONUS,0000000001.00,U,841,841,102510800600084070000,02001324425121923000000001399300000001696,MOTO,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmd=,VISA,True,1020001032,1,1,True,False,True,True,MOTO,MOTO,True,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e68,True,EKCZSH8MA6,True,True,True,False,28.644801,77.216722,2512192300,
6610636f19ed1b8cfaaed3a8,0300,000002,0000000002.00,,63000000,13246,000100,2612,2308,0913,5971,812,013994,001697,1122033443,8999842,89050842,HULUUS,0000000002.00,V,842,842,102510800600084070000,03001324426121900010000001399400000001697,POS,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXme=,AMEX,False,1020001033,2,2,False,True,False,False,POS,POS,False,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e69,False,EKCZSH8MA7,False,False,False,True,28.644802,77.216723,2612190001,
6610636f19ed1b8cfaaed3a9,0400,000003,0000000003.00,,64000000,13247,000200,2712,2309,0914,5972,813,013995,001698,1122033444,8999843,89050843,NETFLIXUS,0000000003.00,W,843,843,102510800600084070000,04001324427121900020000001399500000001698,WEB,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmf=,DISCOVER,True,1020001034,3,3,True,False,True,True,WEB,WEB,True,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e6a,True,EKCZSH8MA8,True,True,True,False,28.644803,77.216724,2712190002,
6610636f19ed1b8cfaaed3aa,0500,000004,0000000004.00,,65000000,13248,000300,2812,2310,0915,5973,814,013996,001699,1122033445,8999844,89050844,PRIMEVIDEOUS,0000000004.00,X,844,844,102510800600084070000,05001324428121900030000001399600000001699,MOBILE,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmg=,VISA,False,1020001035,4,4,False,True,False,False,MOBILE,MOBILE,False,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e6b,False,EKCZSH8MA9,False,False,False,True,28.644804,77.216725,2812190003,
6610636f19ed1b8cfaaed3ab,0600,000005,0000000005.00,,66000000,13249,000400,2912,2311,0916,5974,815,013997,001700,1122033446,8999845,89050845,HULUUS,0000000005.00,Y,845,845,102510800600084070000,06001324429121900040000001399700000001700,WEB,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmh=,MASTERCARD,True,1020001036,5,5,True,False,True,True,WEB,WEB,True,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e6c,True,EKCZSH8MA10,True,True,True,False,28.644805,77.216726,2912190004,
,0100,000000,0000000000.00,2412192200,61000000,13244,192200,2412,2306,0911,5969,810,013992,001695,1122033441,8999840,89050840 ,NETFLIXUS,0000000000.00,T,840,840,102510800600084063368,01001324424121922000000001399200000001695,ECOM,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmc=,MASTER,false,1020001031,0,0,false,true,false,false,ECOM,ECOM,false,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e67,false,EKCZSH8MA5,false,false,false,true,28.644800,77.216721,,0
,0200,000001,0000000001.00,,62000000,13245,202300,2512,2307,0912,5970,811,013993,001696,1122033442,8999841,89050841,AMAZONUS,0000000001.00,U,841,841,102510800600084070000,02001324425121923000000001399300000001696,MOTO,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmd=,VISA,True,1020001032,1,1,True,False,True,True,MOTO,MOTO,True,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e68,True,EKCZSH8MA6,True,True,True,False,28.644801,77.216722,2512192300,1
,0300,000002,0000000002.00,,63000000,13246,000100,2612,2308,0913,5971,812,013994,001697,1122033443,8999842,89050842,HULUUS,0000000002.00,V,842,842,102510800600084070000,03001324426121900010000001399400000001697,POS,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXme=,AMEX,False,1020001033,2,2,False,True,False,False,POS,POS,False,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e69,False,EKCZSH8MA7,False,False,False,True,28.644802,77.216723,2612190001,2
,0400,000003,0000000003.00,,64000000,13247,000200,2712,2309,0914,5972,813,013995,001698,1122033444,8999843,89050843,NETFLIXUS,0000000003.00,W,843,843,102510800600084070000,04001324427121900020000001399500000001698,WEB,Kg1WR6lwTruEPIDK0GS4w82/wrFeXTU5SjD9TfyUXmf=,DISCOVER,True,1020001034,3,3,True,False,True,True,WEB,WEB,True,2a0d5647a9704ebb843c80cad064b8c3cdbfc2b15e5d35394a30fd4dfc945e6a,True,EKCZSH8MA8,True,True,True,False,28.644803,77.216724,2712190002,3
